Region,Province,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
,,,,51526.0,41727.0,2191.0,2021-01-01
,,,,58316.0,33634.0,1181.0,2021-01-01
,,,,99897.0,67395.0,2762.0,2021-01-01
